businessid;imagelink;primarypic
254;http://www.naim.org.il/wp-content/uploads/2015/07/rotchild-pilates.jpg;True
254;https://www.kassai.co.il/wp-content/uploads/2017/03/%D7%A1%D7%98%D7%95%D7%93%D7%99%D7%95-%D7%A0%D7%A2%D7%99%D7%9D_2-%D7%A4%D7%99%D7%9C%D7%90%D7%98%D7%99%D7%A1-%D7%9E%D7%9B%D7%A9%D7%99%D7%A8%D7%99%D7%9D-.jpg;
254;https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQb0jR4ghMqLzn5Y65kpkITqifk1BlwmukgG_4CtojjbgvLuyE0&usqp=CAU;
255;https://www.oryoga.com/application/assets/upload/instructors/1488725439.jpg;True
255;https://i.imgur.com/Ifq8c9m.jpg;
255;https://commondatastorage.googleapis.com/easy/images/PICS/5402291.jpg;
256;https://www.soltlv.com/wp-content/uploads/2019/12/homepage-small-image.jpg;True
256;https://www.soltlv.com/wp-content/uploads/2018/08/Studio_SOL-Hot_Pilates.jpg;
256;https://www.soltlv.com/wp-content/uploads/2018/08/Studio_SOL-Bikram_Yoga.jpg;
257;https://freefit.co.il/Images/Clubs/image_27850_2.jpg;True
257;https://freefit.co.il/Images/Clubs/image_27850_1.jpg;
257;https://i.ytimg.com/vi/6RV8iL0aA14/hqdefault.jpg;
258;https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcR_K_M0kQZJpyaZTLR00VE7xML2I6Z9Lb39gFM8n4BtcpN-mQ-2&usqp=CAU;True
258;https://freefit.co.il/Images/Clubs/image_29305_1.jpg;
258;https://cdn.azrieli.com/Images/2dfcefd7-814c-4ab7-9c5c-b17f586fca38/Normal/29ec8ef4.jpg;
